round,role,rating,rows,share
1,TRAIN_INPUT,2.0,5071,0.05666934871038398
1,TRAIN_INPUT,2.5,2886,0.03225157570068392
1,TRAIN_INPUT,3.0,17644,0.1971749139510974
1,TRAIN_INPUT,3.5,8329,0.09307809217290242
1,TRAIN_INPUT,4.0,24822,0.27739037146305484
1,TRAIN_INPUT,4.5,7890,0.08817218720665147
1,TRAIN_INPUT,5.0,18009,0.20125385543784363
1,VALIDATION_TARGET,0.5,615,0.01248832392478577
1,VALIDATION_TARGET,1.0,1110,0.022539901717906024
1,VALIDATION_TARGET,1.5,1693,0.034378426674247654
1,VALIDATION_TARGET,2.0,3934,0.07988466068310117
1,VALIDATION_TARGET,2.5,6372,0.1293912195914389
1,VALIDATION_TARGET,3.0,9852,0.20005685740973886
1,VALIDATION_TARGET,3.5,10058,0.204239938269098
1,VALIDATION_TARGET,4.0,8918,0.1810908500182756
1,VALIDATION_TARGET,4.5,3901,0.07921455549689314
1,VALIDATION_TARGET,5.0,2793,0.056715266214514885
1,VALIDATION_INPUT30,0.5,146,0.01622222222222222
1,VALIDATION_INPUT30,1.0,191,0.021222222222222222
1,VALIDATION_INPUT30,1.5,190,0.021111111111111112
1,VALIDATION_INPUT30,2.0,470,0.052222222222222225
1,VALIDATION_INPUT30,2.5,589,0.06544444444444444
1,VALIDATION_INPUT30,3.0,1307,0.14522222222222222
1,VALIDATION_INPUT30,3.5,1677,0.18633333333333332
1,VALIDATION_INPUT30,4.0,2232,0.248
1,VALIDATION_INPUT30,4.5,1227,0.13633333333333333
1,VALIDATION_INPUT30,5.0,971,0.1078888888888889
1,EVALUATION_TARGET,0.5,819,0.031141868512110725
1,EVALUATION_TARGET,1.0,501,0.019050153998250885
1,EVALUATION_TARGET,1.5,688,0.026160690520552112
1,EVALUATION_TARGET,2.0,1622,0.06167534887258071
1,EVALUATION_TARGET,2.5,2500,0.09506064869386668
1,EVALUATION_TARGET,3.0,4678,0.17787748583596336
1,EVALUATION_TARGET,3.5,5764,0.21917183162857903
1,EVALUATION_TARGET,4.0,5864,0.2229742575763337
1,EVALUATION_TARGET,4.5,2306,0.08768394235522263
1,EVALUATION_TARGET,5.0,1557,0.05920377200654017
1,EVALUATION_INPUT30,0.5,76,0.015261044176706828
1,EVALUATION_INPUT30,1.0,56,0.011244979919678716
1,EVALUATION_INPUT30,1.5,88,0.017670682730923693
1,EVALUATION_INPUT30,2.0,221,0.04437751004016064
1,EVALUATION_INPUT30,2.5,345,0.06927710843373494
1,EVALUATION_INPUT30,3.0,713,0.1431726907630522
1,EVALUATION_INPUT30,3.5,976,0.19598393574297188
1,EVALUATION_INPUT30,4.0,1266,0.25421686746987954
1,EVALUATION_INPUT30,4.5,719,0.14437751004016064
1,EVALUATION_INPUT30,5.0,520,0.10441767068273092
2,TRAIN_R,0.5,2200,0.01183673908598853
2,TRAIN_R,1.0,5579,0.030016894254877274
2,TRAIN_R,1.5,1975,0.010626163497648793
2,TRAIN_R,2.0,10508,0.056536570143439754
2,TRAIN_R,2.5,5795,0.03117904681968342
2,TRAIN_R,3.0,37232,0.20032066802251133
2,TRAIN_R,3.5,16853,0.09067480173462031
2,TRAIN_R,4.0,52066,0.28013257147776305
2,TRAIN_R,4.5,16668,0.08967943958420764
2,TRAIN_R,5.0,36986,0.19899710537925988
2,TRAIN_TARGET,0.5,1172,0.012208333333333333
2,TRAIN_TARGET,1.0,2870,0.029895833333333333
2,TRAIN_TARGET,1.5,981,0.01021875
2,TRAIN_TARGET,2.0,5337,0.05559375
2,TRAIN_TARGET,2.5,2898,0.0301875
2,TRAIN_TARGET,3.0,19269,0.20071875
2,TRAIN_TARGET,3.5,8790,0.0915625
2,TRAIN_TARGET,4.0,26917,0.28038541666666666
2,TRAIN_TARGET,4.5,8849,0.09217708333333334
2,TRAIN_TARGET,5.0,18917,0.19705208333333332
2,TRAIN_INPUT,0.5,1028,0.011439763192450646
2,TRAIN_INPUT,1.0,2709,0.030146224210456034
2,TRAIN_INPUT,1.5,994,0.011061405265852085
2,TRAIN_INPUT,2.0,5171,0.05754378936591663
2,TRAIN_INPUT,2.5,2897,0.032238320981059845
2,TRAIN_INPUT,3.0,17963,0.1998953951614698
2,TRAIN_INPUT,3.5,8063,0.08972646947541786
2,TRAIN_INPUT,4.0,25149,0.2798624557655071
2,TRAIN_INPUT,4.5,7819,0.08701119494335759
2,TRAIN_INPUT,5.0,18069,0.2010749816385124
2,VALIDATION_TARGET,0.5,615,0.01248832392478577
2,VALIDATION_TARGET,1.0,1110,0.022539901717906024
2,VALIDATION_TARGET,1.5,1693,0.034378426674247654
2,VALIDATION_TARGET,2.0,3934,0.07988466068310117
2,VALIDATION_TARGET,2.5,6372,0.1293912195914389
2,VALIDATION_TARGET,3.0,9852,0.20005685740973886
2,VALIDATION_TARGET,3.5,10058,0.204239938269098
2,VALIDATION_TARGET,4.0,8918,0.1810908500182756
2,VALIDATION_TARGET,4.5,3901,0.07921455549689314
2,VALIDATION_TARGET,5.0,2793,0.056715266214514885
2,VALIDATION_INPUT30,0.5,146,0.01622222222222222
2,VALIDATION_INPUT30,1.0,191,0.021222222222222222
2,VALIDATION_INPUT30,1.5,190,0.021111111111111112
2,VALIDATION_INPUT30,2.0,470,0.052222222222222225
2,VALIDATION_INPUT30,2.5,589,0.06544444444444444
2,VALIDATION_INPUT30,3.0,1307,0.14522222222222222
2,VALIDATION_INPUT30,3.5,1677,0.18633333333333332
2,VALIDATION_INPUT30,4.0,2232,0.248
2,VALIDATION_INPUT30,4.5,1227,0.13633333333333333
2,VALIDATION_INPUT30,5.0,971,0.1078888888888889
2,EVALUATION_TARGET,0.5,948,0.03355514653829817
2,EVALUATION_TARGET,1.0,703,0.024883194110151493
2,EVALUATION_TARGET,1.5,809,0.028635140874982302
2,EVALUATION_TARGET,2.0,1884,0.06668554438623814
2,EVALUATION_TARGET,2.5,2777,0.09829392609372788
2,EVALUATION_TARGET,3.0,5222,0.18483647175421208
2,EVALUATION_TARGET,3.5,5754,0.20366699702675917
2,EVALUATION_TARGET,4.0,6169,0.21835622256831375
2,EVALUATION_TARGET,4.5,2299,0.08137476992779272
2,EVALUATION_TARGET,5.0,1687,0.05971258671952428
2,EVALUATION_INPUT30,0.5,102,0.019653179190751446
2,EVALUATION_INPUT30,1.0,78,0.015028901734104046
2,EVALUATION_INPUT30,1.5,87,0.01676300578034682
2,EVALUATION_INPUT30,2.0,265,0.051059730250481696
2,EVALUATION_INPUT30,2.5,360,0.06936416184971098
2,EVALUATION_INPUT30,3.0,778,0.14990366088631984
2,EVALUATION_INPUT30,3.5,950,0.18304431599229287
2,EVALUATION_INPUT30,4.0,1391,0.2680154142581888
2,EVALUATION_INPUT30,4.5,676,0.1302504816955684
2,EVALUATION_INPUT30,5.0,503,0.09691714836223507
