role,round,measure,users,mean,min,p25,median,p75,p95,max
TRAIN_ORIGINAL_ROLE_POOL,0,pre_all,46376,123.07807917888563,0.0,25.0,53.0,127.0,472.0,22912.0
TRAIN_ORIGINAL_ROLE_POOL,0,pre_catalog,46376,122.82452130412283,0.0,25.0,53.0,127.0,471.0,22718.0
TRAIN_ORIGINAL_ROLE_POOL,0,pre_nonheld,46376,97.08922718647577,0.0,20.0,42.0,100.0,372.0,18221.0
TRAIN_ORIGINAL_ROLE_POOL,0,post_catalog,46376,28.75504571329998,0.0,0.0,0.0,0.0,152.0,10235.0
TRAIN_LEGAL_POOL,0,pre_all,44720,115.64639982110913,0.0,25.0,51.0,119.0,440.0,7667.0
TRAIN_LEGAL_POOL,0,pre_catalog,44720,115.41831395348837,0.0,25.0,51.0,119.0,439.0,7634.0
TRAIN_LEGAL_POOL,0,pre_nonheld,44720,91.22010286225402,0.0,20.0,41.0,94.0,347.0,6093.0
TRAIN_LEGAL_POOL,0,post_catalog,44720,26.506954382826475,0.0,0.0,0.0,0.0,140.0,5755.0
TRAIN_ELIGIBLE_POOL,0,pre_all,34878,145.37086415505476,12.0,38.0,72.0,152.0,512.0,7667.0
TRAIN_ELIGIBLE_POOL,0,pre_catalog,34878,145.08392109639314,11.0,38.0,72.0,152.0,511.0,7634.0
TRAIN_ELIGIBLE_POOL,0,pre_nonheld,34878,114.69141005791616,9.0,30.0,57.0,120.0,403.0,6093.0
TRAIN_ELIGIBLE_POOL,0,post_catalog,34878,4.316101840701875,0.0,0.0,0.0,0.0,0.0,4551.0
TRAIN_ORIGINAL_ROLE_POOL,1,pre_all,46376,122.87952820424357,0.0,25.0,53.0,127.0,470.0,22912.0
TRAIN_ORIGINAL_ROLE_POOL,1,pre_catalog,46376,122.62735035363119,0.0,25.0,53.0,127.0,469.0,22718.0
TRAIN_ORIGINAL_ROLE_POOL,1,pre_nonheld,46376,96.92608245644298,0.0,20.0,42.0,101.0,371.0,18221.0
TRAIN_ORIGINAL_ROLE_POOL,1,post_catalog,46376,28.68591512851475,0.0,0.0,0.0,0.0,154.0,10235.0
TRAIN_LEGAL_POOL,1,pre_all,44728,115.14038186370954,0.0,25.0,51.0,119.0,438.0,7667.0
TRAIN_LEGAL_POOL,1,pre_catalog,44728,114.91600339831872,0.0,25.0,51.0,119.0,437.0,7634.0
TRAIN_LEGAL_POOL,1,pre_nonheld,44728,90.80381416562332,0.0,20.0,41.0,94.0,345.65000000000146,6093.0
TRAIN_LEGAL_POOL,1,post_catalog,44728,26.54080218207834,0.0,0.0,0.0,0.0,140.0,5755.0
TRAIN_ELIGIBLE_POOL,1,pre_all,34894,144.69384421390498,10.0,38.0,71.0,152.0,510.0,7667.0
TRAIN_ELIGIBLE_POOL,1,pre_catalog,34894,144.41041439789075,10.0,38.0,71.0,152.0,509.0,7634.0
TRAIN_ELIGIBLE_POOL,1,pre_nonheld,34894,114.13449303605205,9.0,30.0,57.0,120.0,400.34999999999854,6093.0
TRAIN_ELIGIBLE_POOL,1,post_catalog,34894,4.087436235455952,0.0,0.0,0.0,0.0,0.0,2118.0
TRAIN_ORIGINAL_ROLE_POOL,2,pre_all,46376,122.93539761945834,0.0,25.0,54.0,127.0,473.0,22912.0
TRAIN_ORIGINAL_ROLE_POOL,2,pre_catalog,46376,122.68367258927032,0.0,25.0,53.0,127.0,473.0,22718.0
TRAIN_ORIGINAL_ROLE_POOL,2,pre_nonheld,46376,96.98576850094877,0.0,20.0,42.0,101.0,373.0,18221.0
TRAIN_ORIGINAL_ROLE_POOL,2,post_catalog,46376,28.36462825599448,0.0,0.0,0.0,0.0,152.0,10235.0
TRAIN_LEGAL_POOL,2,pre_all,44711,115.4810225671535,0.0,25.0,51.0,119.0,439.5,9178.0
TRAIN_LEGAL_POOL,2,pre_catalog,44711,115.25506027599472,0.0,25.0,51.0,119.0,438.0,9130.0
TRAIN_LEGAL_POOL,2,pre_nonheld,44711,91.09373532240389,0.0,20.0,41.0,94.0,346.5,7313.0
TRAIN_LEGAL_POOL,2,post_catalog,44711,26.477712419762476,0.0,0.0,0.0,0.0,140.0,5755.0
TRAIN_ELIGIBLE_POOL,2,pre_all,34986,144.78411364545818,11.0,38.0,72.0,151.0,511.0,9178.0
TRAIN_ELIGIBLE_POOL,2,pre_catalog,34986,144.5009146515749,10.0,38.0,72.0,151.0,510.75,9130.0
TRAIN_ELIGIBLE_POOL,2,pre_nonheld,34986,114.23286457440119,9.0,30.0,57.0,120.0,402.0,7313.0
TRAIN_ELIGIBLE_POOL,2,post_catalog,34986,4.090007431544046,0.0,0.0,0.0,0.0,0.0,4551.0
