round,role,k,users,input_rows,no_supported_input_users,no_input_users,mean_supported_inputs,mean_pre_activity,input_age_days_mean,input_age_days_min,input_age_days_p25,input_age_days_median,input_age_days_p75,input_age_days_p95,input_age_days_max
1,TRAIN,30,1635,49050,0,0,30.0,188.21529051987767,4362.260443841318,1.1934606481481482,1500.7083275462962,4664.822355324074,6857.918368055556,8182.846180555555,8373.0
1,validation,0,300,0,0,300,0.0,555.4533333333334,,,,,,,
1,validation,1,300,300,109,0,0.6366666666666667,555.4533333333334,413.449646566358,0.009710648148148149,21.143506944444443,105.27346064814814,328.64644386574076,2300.5125219907413,4876.648645833333
1,validation,5,300,1500,1,0,3.4066666666666667,555.4533333333334,452.8072352237655,0.009710648148148149,38.37215856481481,154.52764467592593,403.93391782407406,2349.258869212963,4877.366956018518
1,validation,10,300,3000,0,0,6.883333333333334,555.4533333333334,493.8811503626543,0.009710648148148149,50.88753472222222,191.10624421296296,434.2843373842593,2574.606458912037,4877.368587962963
1,validation,30,300,9000,0,0,21.27,555.4533333333334,605.7753319958848,0.009710648148148149,99.41535011574074,282.6644039351852,601.9415914351852,2810.1053339120367,4877.416597222223
1,evaluation,0,166,0,0,166,0.0,609.1144578313254,,,,,,,
1,evaluation,1,166,166,52,0,0.6867469879518072,609.1144578313254,323.7698427738732,0.048275462962962964,22.206927083333333,104.52994212962963,316.54364004629633,1119.1455873842592,4081.9718055555554
1,evaluation,5,166,830,6,0,3.391566265060241,609.1144578313254,361.1004623633422,0.048275462962962964,30.047042824074072,134.46793981481483,429.9537008101852,1175.3174525462964,4110.939189814815
1,evaluation,10,166,1660,2,0,6.867469879518072,609.1144578313254,390.28521120593484,0.048275462962962964,43.60432291666666,156.74890046296298,450.7571267361111,1227.2491608796286,4152.627303240741
1,evaluation,30,166,4980,0,0,21.09036144578313,609.1144578313254,503.9322414054365,0.048275462962962964,92.91214409722222,255.0528298611111,646.7080092592593,1954.3062644675927,4550.859039351852
2,TRAIN,0,2608,0,0,2608,0.0,127.81480061349693,,,,,,,
2,TRAIN,1,2642,2642,0,0,1.0,130.61619984859954,4617.544569389246,1.1044212962962963,1964.1998090277777,4842.993368055555,6989.991221064814,8227.25529050926,8341.0
2,TRAIN,5,2624,13120,0,0,5.0,132.57888719512195,4582.764771569946,0.3178009259259259,1865.7431278935185,4938.792534722223,6960.362612847222,8221.465362268518,8312.224363425927
2,TRAIN,10,2484,24840,0,0,10.0,140.61392914653786,4544.37894046574,1.2063425925925926,1644.5384403935184,4843.961284722222,6974.110188078704,8215.077905671296,8341.0
2,TRAIN,30,1642,49260,0,0,30.0,185.373934226553,4517.990700727951,2.9855092592592594,1877.2340133101852,4726.487152777778,6920.942002314815,8216.384918981481,8309.5765625
2,validation,0,300,0,0,300,0.0,555.4533333333334,,,,,,,
2,validation,1,300,300,103,0,0.6566666666666666,555.4533333333334,413.449646566358,0.009710648148148149,21.143506944444443,105.27346064814814,328.64644386574076,2300.5125219907413,4876.648645833333
2,validation,5,300,1500,2,0,3.41,555.4533333333334,452.8072352237655,0.009710648148148149,38.37215856481481,154.52764467592593,403.93391782407406,2349.258869212963,4877.366956018518
2,validation,10,300,3000,0,0,6.876666666666667,555.4533333333334,493.8811503626543,0.009710648148148149,50.88753472222222,191.10624421296296,434.2843373842593,2574.606458912037,4877.368587962963
2,validation,30,300,9000,0,0,21.216666666666665,555.4533333333334,605.7753319958848,0.009710648148148149,99.41535011574074,282.6644039351852,601.9415914351852,2810.1053339120367,4877.416597222223
2,evaluation,0,173,0,0,173,0.0,703.1271676300578,,,,,,,
2,evaluation,1,173,173,72,0,0.5838150289017341,703.1271676300578,339.5144170145579,0.03650462962962963,10.376203703703704,85.58481481481482,323.910625,1643.638215277779,5398.943912037037
2,evaluation,5,173,865,7,0,3.2369942196531793,703.1271676300578,384.03832511774783,0.03650462962962963,23.62869212962963,119.78789351851852,435.9794791666667,1877.3337060185152,5399.1084375
2,evaluation,10,173,1730,3,0,6.456647398843931,703.1271676300578,419.75485262791693,0.03650462962962963,36.401684027777776,148.4715914351852,484.02978009259255,1904.9884334490741,5399.108773148148
2,evaluation,30,173,5190,0,0,20.15028901734104,703.1271676300578,525.3160626583351,0.03650462962962963,77.89874131944444,237.82127314814815,681.8606539351852,2020.5211012731481,5399.110451388889
