round,role,axis,group,rating_rows,row_share,unique_users,unique_movies
0,TRAIN_INPUT,year,2000_2009,19223,0.2197567277133777,4221,1598
0,TRAIN_INPUT,year,2010_2018,6313,0.07217001623339507,1693,933
0,TRAIN_INPUT,year,2019_PLUS,1,1.143196835631159e-05,1,1
0,TRAIN_INPUT,activity,0,0,0.0,0,0
0,TRAIN_INPUT,activity,1_9,0,0.0,0,0
0,TRAIN_INPUT,activity,10_29,6659,0.07612547728467887,1362,1465
0,TRAIN_INPUT,activity,30_99,39860,0.45567825868257994,4309,3627
0,TRAIN_INPUT,activity,100_299,29408,0.33619132542241126,2607,3875
0,TRAIN_INPUT,activity,300_PLUS,11547,0.1320049386103299,1063,3267
0,VALIDATION_TARGET,support,0,29448,0.5979775007107176,288,17166
0,VALIDATION_TARGET,support,1_9,6513,0.13225439629614588,255,2810
0,VALIDATION_TARGET,support,10_49,5850,0.1187913739186939,271,1233
0,VALIDATION_TARGET,support,50_PLUS,7435,0.1509767290744426,276,795
0,VALIDATION_TARGET,year,UNKNOWN,0,0.0,0,0
0,VALIDATION_TARGET,year,BEFORE_2000,15222,0.3091012468017707,262,8964
0,VALIDATION_TARGET,year,2000_2009,10592,0.21508345855500954,268,4245
0,VALIDATION_TARGET,year,2010_2018,15781,0.32045242253177925,289,6682
0,VALIDATION_TARGET,year,2019_PLUS,7651,0.15536287211144054,243,2113
0,VALIDATION_TARGET,activity,0,0,0.0,0,0
0,VALIDATION_TARGET,activity,1_9,0,0.0,0,0
0,VALIDATION_TARGET,activity,10_29,0,0.0,0,0
0,VALIDATION_TARGET,activity,30_99,4299,0.08729643016691711,62,2138
0,VALIDATION_TARGET,activity,100_299,7091,0.1439913901636681,78,3074
0,VALIDATION_TARGET,activity,300_PLUS,37856,0.7687121796694147,160,21309
0,VALIDATION_INPUT30,support,0,2611,0.2901111111111111,300,1414
0,VALIDATION_INPUT30,support,1_9,1546,0.17177777777777778,264,852
0,VALIDATION_INPUT30,support,10_49,1859,0.20655555555555555,294,649
0,VALIDATION_INPUT30,support,50_PLUS,2984,0.33155555555555555,286,615
0,VALIDATION_INPUT30,year,UNKNOWN,0,0.0,0,0
0,VALIDATION_INPUT30,year,BEFORE_2000,2512,0.2791111111111111,278,1171
0,VALIDATION_INPUT30,year,2000_2009,2492,0.2768888888888889,289,940
0,VALIDATION_INPUT30,year,2010_2018,3994,0.44377777777777777,283,1417
0,VALIDATION_INPUT30,year,2019_PLUS,2,0.00022222222222222223,2,2
0,VALIDATION_INPUT30,activity,0,0,0.0,0,0
0,VALIDATION_INPUT30,activity,1_9,0,0.0,0,0
0,VALIDATION_INPUT30,activity,10_29,0,0.0,0,0
0,VALIDATION_INPUT30,activity,30_99,1860,0.20666666666666667,62,975
0,VALIDATION_INPUT30,activity,100_299,2340,0.26,78,1348
0,VALIDATION_INPUT30,activity,300_PLUS,4800,0.5333333333333333,160,2749
0,EVALUATION_TARGET,support,0,15547,0.5644423467905896,168,7543
0,EVALUATION_TARGET,support,1_9,4739,0.17205198954400233,150,2164
0,EVALUATION_TARGET,support,10_49,3521,0.12783183270403717,154,1051
0,EVALUATION_TARGET,support,50_PLUS,3737,0.1356738309613709,161,754
0,EVALUATION_TARGET,year,UNKNOWN,0,0.0,0,0
0,EVALUATION_TARGET,year,BEFORE_2000,6949,0.2522872494917223,150,3928
0,EVALUATION_TARGET,year,2000_2009,4849,0.1760455997676445,160,2107
0,EVALUATION_TARGET,year,2010_2018,9536,0.3462097008422887,166,3583
0,EVALUATION_TARGET,year,2019_PLUS,6210,0.22545744989834446,141,1894
0,EVALUATION_TARGET,activity,0,0,0.0,0,0
0,EVALUATION_TARGET,activity,1_9,0,0.0,0,0
0,EVALUATION_TARGET,activity,10_29,0,0.0,0,0
0,EVALUATION_TARGET,activity,30_99,517,0.018769968051118212,11,473
0,EVALUATION_TARGET,activity,100_299,6134,0.2226982282892826,47,3641
0,EVALUATION_TARGET,activity,300_PLUS,20893,0.7585318036595992,112,10267
0,EVALUATION_INPUT30,support,0,1669,0.32725490196078433,170,1145
0,EVALUATION_INPUT30,support,1_9,1027,0.20137254901960785,162,660
0,EVALUATION_INPUT30,support,10_49,1108,0.2172549019607843,166,558
0,EVALUATION_INPUT30,support,50_PLUS,1296,0.2541176470588235,158,523
0,EVALUATION_INPUT30,year,UNKNOWN,0,0.0,0,0
0,EVALUATION_INPUT30,year,BEFORE_2000,1373,0.2692156862745098,158,903
0,EVALUATION_INPUT30,year,2000_2009,1270,0.24901960784313726,162,754
0,EVALUATION_INPUT30,year,2010_2018,2455,0.48137254901960785,166,1227
0,EVALUATION_INPUT30,year,2019_PLUS,2,0.000392156862745098,2,2
0,EVALUATION_INPUT30,activity,0,0,0.0,0,0
0,EVALUATION_INPUT30,activity,1_9,0,0.0,0,0
0,EVALUATION_INPUT30,activity,10_29,0,0.0,0,0
0,EVALUATION_INPUT30,activity,30_99,330,0.06470588235294118,11,280
0,EVALUATION_INPUT30,activity,100_299,1410,0.27647058823529413,47,1041
0,EVALUATION_INPUT30,activity,300_PLUS,3360,0.6588235294117647,112,2314
1,TRAIN_R,support,0,0,0.0,0,0
1,TRAIN_R,support,1_9,14342,0.07732203316728127,5662,5234
1,TRAIN_R,support,10_49,32178,0.17348127062172478,9124,1459
1,TRAIN_R,support,50_PLUS,138964,0.7491966962109939,11984,834
1,TRAIN_R,year,UNKNOWN,0,0.0,0,0
1,TRAIN_R,year,BEFORE_2000,127934,0.6897306506221561,11762,3900
1,TRAIN_R,year,2000_2009,42434,0.228774449548209,7744,2092
1,TRAIN_R,year,2010_2018,15114,0.08148411722844019,3424,1534
1,TRAIN_R,year,2019_PLUS,2,1.0782601194712212e-05,2,1
1,TRAIN_R,activity,0,0,0.0,0,0
1,TRAIN_R,activity,1_9,0,0.0,0,0
1,TRAIN_R,activity,10_29,21257,0.11460287679799874,1865,2880
1,TRAIN_R,activity,30_99,85543,0.4611880269996334,5562,5264
1,TRAIN_R,activity,100_299,56224,0.3031204847857497,3254,5101
1,TRAIN_R,activity,300_PLUS,22460,0.12108861141661814,1319,4694
1,TRAIN_TARGET,support,0,0,0.0,0,0
1,TRAIN_TARGET,support,1_9,8518,0.08872916666666666,4681,4168
1,TRAIN_TARGET,support,10_49,17966,0.18714583333333334,8255,1459
1,TRAIN_TARGET,support,50_PLUS,69516,0.724125,11905,834
1,TRAIN_TARGET,year,UNKNOWN,0,0.0,0,0
1,TRAIN_TARGET,year,BEFORE_2000,64559,0.6724895833333333,11346,3392
1,TRAIN_TARGET,year,2000_2009,23055,0.24015625,7326,1802
1,TRAIN_TARGET,year,2010_2018,8385,0.08734375,3108,1266
1,TRAIN_TARGET,year,2019_PLUS,1,1.0416666666666666e-05,1,1
1,TRAIN_TARGET,activity,0,0,0.0,0,0
1,TRAIN_TARGET,activity,1_9,0,0.0,0,0
1,TRAIN_TARGET,activity,10_29,14920,0.15541666666666668,1865,2584
1,TRAIN_TARGET,activity,30_99,44496,0.4635,5562,4344
1,TRAIN_TARGET,activity,100_299,26032,0.27116666666666667,3254,4152
1,TRAIN_TARGET,activity,300_PLUS,10552,0.10991666666666666,1319,3701
1,TRAIN_INPUT,support,0,0,0.0,0,0
1,TRAIN_INPUT,support,1_9,5824,0.06508426087345223,2445,3231
1,TRAIN_INPUT,support,10_49,14212,0.15882168879352734,4364,1456
1,TRAIN_INPUT,support,50_PLUS,69448,0.7760940503330205,8924,834
1,TRAIN_INPUT,year,UNKNOWN,0,0.0,0,0
1,TRAIN_INPUT,year,BEFORE_2000,63375,0.7082271691028563,8641,3020
1,TRAIN_INPUT,year,2000_2009,19379,0.21656385499083636,4209,1553
1,TRAIN_INPUT,year,2010_2018,6729,0.0751978007241518,1754,947
1,TRAIN_INPUT,year,2019_PLUS,1,1.1175182155469133e-05,1,1
1,TRAIN_INPUT,activity,0,0,0.0,0,0
1,TRAIN_INPUT,activity,1_9,0,0.0,0,0
1,TRAIN_INPUT,activity,10_29,6337,0.0708171293192079,1349,1390
1,TRAIN_INPUT,activity,30_99,41047,0.45870770193554156,4373,3747
1,TRAIN_INPUT,activity,100_299,30192,0.3374010996379241,2615,3771
1,TRAIN_INPUT,activity,300_PLUS,11908,0.13307406910732644,1025,3236
1,VALIDATION_TARGET,support,0,29504,0.5991146489054948,289,17142
1,VALIDATION_TARGET,support,1_9,6356,0.12906632010721683,246,2808
1,VALIDATION_TARGET,support,10_49,5729,0.11633432156926451,273,1242
1,VALIDATION_TARGET,support,50_PLUS,7657,0.1554847094180238,276,812
1,VALIDATION_TARGET,year,UNKNOWN,0,0.0,0,0
1,VALIDATION_TARGET,year,BEFORE_2000,15222,0.3091012468017707,262,8964
1,VALIDATION_TARGET,year,2000_2009,10592,0.21508345855500954,268,4245
1,VALIDATION_TARGET,year,2010_2018,15781,0.32045242253177925,289,6682
1,VALIDATION_TARGET,year,2019_PLUS,7651,0.15536287211144054,243,2113
1,VALIDATION_TARGET,activity,0,0,0.0,0,0
1,VALIDATION_TARGET,activity,1_9,0,0.0,0,0
1,VALIDATION_TARGET,activity,10_29,0,0.0,0,0
1,VALIDATION_TARGET,activity,30_99,4299,0.08729643016691711,62,2138
1,VALIDATION_TARGET,activity,100_299,7091,0.1439913901636681,78,3074
1,VALIDATION_TARGET,activity,300_PLUS,37856,0.7687121796694147,160,21309
1,VALIDATION_INPUT30,support,0,2619,0.291,300,1389
1,VALIDATION_INPUT30,support,1_9,1549,0.1721111111111111,264,881
1,VALIDATION_INPUT30,support,10_49,1720,0.19111111111111112,290,630
1,VALIDATION_INPUT30,support,50_PLUS,3112,0.3457777777777778,286,630
1,VALIDATION_INPUT30,year,UNKNOWN,0,0.0,0,0
1,VALIDATION_INPUT30,year,BEFORE_2000,2512,0.2791111111111111,278,1171
1,VALIDATION_INPUT30,year,2000_2009,2492,0.2768888888888889,289,940
1,VALIDATION_INPUT30,year,2010_2018,3994,0.44377777777777777,283,1417
1,VALIDATION_INPUT30,year,2019_PLUS,2,0.00022222222222222223,2,2
1,VALIDATION_INPUT30,activity,0,0,0.0,0,0
1,VALIDATION_INPUT30,activity,1_9,0,0.0,0,0
1,VALIDATION_INPUT30,activity,10_29,0,0.0,0,0
1,VALIDATION_INPUT30,activity,30_99,1860,0.20666666666666667,62,975
1,VALIDATION_INPUT30,activity,100_299,2340,0.26,78,1348
1,VALIDATION_INPUT30,activity,300_PLUS,4800,0.5333333333333333,160,2749
1,EVALUATION_TARGET,support,0,13964,0.5309707593444618,162,6495
1,EVALUATION_TARGET,support,1_9,4344,0.16517738317046277,137,1999
1,EVALUATION_TARGET,support,10_49,3758,0.1428951671166204,146,1040
1,EVALUATION_TARGET,support,50_PLUS,4233,0.16095669036845509,154,766
1,EVALUATION_TARGET,year,UNKNOWN,0,0.0,0,0
1,EVALUATION_TARGET,year,BEFORE_2000,6494,0.24692954104718812,147,3443
1,EVALUATION_TARGET,year,2000_2009,5196,0.19757405224533253,154,1922
1,EVALUATION_TARGET,year,2010_2018,8780,0.3338529982128598,159,3057
1,EVALUATION_TARGET,year,2019_PLUS,5829,0.22164340849461955,132,1878
1,EVALUATION_TARGET,activity,0,0,0.0,0,0
1,EVALUATION_TARGET,activity,1_9,0,0.0,0,0
1,EVALUATION_TARGET,activity,10_29,0,0.0,0,0
1,EVALUATION_TARGET,activity,30_99,2242,0.08525038974865964,18,1527
1,EVALUATION_TARGET,activity,100_299,6135,0.23327883189474885,52,3718
1,EVALUATION_TARGET,activity,300_PLUS,17922,0.6814707783565915,96,8770
1,EVALUATION_INPUT30,support,0,1479,0.2969879518072289,166,957
1,EVALUATION_INPUT30,support,1_9,927,0.186144578313253,154,620
1,EVALUATION_INPUT30,support,10_49,944,0.1895582329317269,159,492
1,EVALUATION_INPUT30,support,50_PLUS,1630,0.3273092369477912,156,562
1,EVALUATION_INPUT30,year,UNKNOWN,0,0.0,0,0
1,EVALUATION_INPUT30,year,BEFORE_2000,1428,0.28674698795180725,154,817
1,EVALUATION_INPUT30,year,2000_2009,1250,0.25100401606425704,161,720
1,EVALUATION_INPUT30,year,2010_2018,2302,0.46224899598393576,163,1094
1,EVALUATION_INPUT30,year,2019_PLUS,0,0.0,0,0
1,EVALUATION_INPUT30,activity,0,0,0.0,0,0
1,EVALUATION_INPUT30,activity,1_9,0,0.0,0,0
1,EVALUATION_INPUT30,activity,10_29,0,0.0,0,0
1,EVALUATION_INPUT30,activity,30_99,540,0.10843373493975904,18,383
1,EVALUATION_INPUT30,activity,100_299,1560,0.3132530120481928,52,1028
1,EVALUATION_INPUT30,activity,300_PLUS,2880,0.5783132530120482,96,2054
2,TRAIN_R,support,0,0,0.0,0,0
2,TRAIN_R,support,1_9,14183,0.07630930475298878,5550,5166
2,TRAIN_R,support,10_49,32943,0.17724440714078188,9131,1478
2,TRAIN_R,support,50_PLUS,138736,0.7464462881062294,11989,829
2,TRAIN_R,year,UNKNOWN,0,0.0,0,0
2,TRAIN_R,year,BEFORE_2000,129074,0.694461482174947,11754,3879
2,TRAIN_R,year,2000_2009,42203,0.22706631802089722,7700,2140
2,TRAIN_R,year,2010_2018,14584,0.07846681946820759,3389,1453
2,TRAIN_R,year,2019_PLUS,1,5.380335948176604e-06,1,1
2,TRAIN_R,activity,0,0,0.0,0,0
2,TRAIN_R,activity,1_9,0,0.0,0,0
2,TRAIN_R,activity,10_29,21413,0.11520913365830562,1875,2830
2,TRAIN_R,activity,30_99,85361,0.4592708568723031,5534,5176
2,TRAIN_R,activity,100_299,56864,0.30594742335711445,3287,5132
2,TRAIN_R,activity,300_PLUS,22224,0.11957258611227685,1304,4754
2,TRAIN_TARGET,support,0,0,0.0,0,0
2,TRAIN_TARGET,support,1_9,8351,0.08698958333333333,4597,4064
2,TRAIN_TARGET,support,10_49,18530,0.19302083333333334,8288,1478
2,TRAIN_TARGET,support,50_PLUS,69119,0.7199895833333333,11886,829
2,TRAIN_TARGET,year,UNKNOWN,0,0.0,0,0
2,TRAIN_TARGET,year,BEFORE_2000,64915,0.6761979166666666,11353,3325
2,TRAIN_TARGET,year,2000_2009,22829,0.23780208333333333,7255,1853
2,TRAIN_TARGET,year,2010_2018,8255,0.08598958333333333,3111,1192
2,TRAIN_TARGET,year,2019_PLUS,1,1.0416666666666666e-05,1,1
2,TRAIN_TARGET,activity,0,0,0.0,0,0
2,TRAIN_TARGET,activity,1_9,0,0.0,0,0
2,TRAIN_TARGET,activity,10_29,15000,0.15625,1875,2530
2,TRAIN_TARGET,activity,30_99,44272,0.46116666666666667,5534,4284
2,TRAIN_TARGET,activity,100_299,26296,0.27391666666666664,3287,4139
2,TRAIN_TARGET,activity,300_PLUS,10432,0.10866666666666666,1304,3760
2,TRAIN_INPUT,support,0,0,0.0,0,0
2,TRAIN_INPUT,support,1_9,5832,0.06489951258596514,2466,3211
2,TRAIN_INPUT,support,10_49,14413,0.16039037635485523,4416,1473
2,TRAIN_INPUT,support,50_PLUS,69617,0.7747101110591796,8937,829
2,TRAIN_INPUT,year,UNKNOWN,0,0.0,0,0
2,TRAIN_INPUT,year,BEFORE_2000,64159,0.7139725356657987,8694,3025
2,TRAIN_INPUT,year,2000_2009,19374,0.21559724911531014,4225,1565
2,TRAIN_INPUT,year,2010_2018,6329,0.07043021521889119,1720,923
2,TRAIN_INPUT,year,2019_PLUS,0,0.0,0,0
2,TRAIN_INPUT,activity,0,0,0.0,0,0
2,TRAIN_INPUT,activity,1_9,0,0.0,0,0
2,TRAIN_INPUT,activity,10_29,6413,0.07136498186107587,1374,1391
2,TRAIN_INPUT,activity,30_99,41089,0.4572455542943625,4340,3731
2,TRAIN_INPUT,activity,100_299,30568,0.3401660323607309,2618,3844
2,TRAIN_INPUT,activity,300_PLUS,11792,0.13122343148383075,1060,3269
2,VALIDATION_TARGET,support,0,29553,0.6001096535759249,290,17162
2,VALIDATION_TARGET,support,1_9,6396,0.129878568817772,248,2803
2,VALIDATION_TARGET,support,10_49,5841,0.118608617958819,268,1232
2,VALIDATION_TARGET,support,50_PLUS,7456,0.15140315964748405,274,807
2,VALIDATION_TARGET,year,UNKNOWN,0,0.0,0,0
2,VALIDATION_TARGET,year,BEFORE_2000,15222,0.3091012468017707,262,8964
2,VALIDATION_TARGET,year,2000_2009,10592,0.21508345855500954,268,4245
2,VALIDATION_TARGET,year,2010_2018,15781,0.32045242253177925,289,6682
2,VALIDATION_TARGET,year,2019_PLUS,7651,0.15536287211144054,243,2113
2,VALIDATION_TARGET,activity,0,0,0.0,0,0
2,VALIDATION_TARGET,activity,1_9,0,0.0,0,0
2,VALIDATION_TARGET,activity,10_29,0,0.0,0,0
2,VALIDATION_TARGET,activity,30_99,4299,0.08729643016691711,62,2138
2,VALIDATION_TARGET,activity,100_299,7091,0.1439913901636681,78,3074
2,VALIDATION_TARGET,activity,300_PLUS,37856,0.7687121796694147,160,21309
2,VALIDATION_INPUT30,support,0,2635,0.2927777777777778,300,1416
2,VALIDATION_INPUT30,support,1_9,1538,0.1708888888888889,263,856
2,VALIDATION_INPUT30,support,10_49,1821,0.20233333333333334,292,637
2,VALIDATION_INPUT30,support,50_PLUS,3006,0.334,287,621
2,VALIDATION_INPUT30,year,UNKNOWN,0,0.0,0,0
2,VALIDATION_INPUT30,year,BEFORE_2000,2512,0.2791111111111111,278,1171
2,VALIDATION_INPUT30,year,2000_2009,2492,0.2768888888888889,289,940
2,VALIDATION_INPUT30,year,2010_2018,3994,0.44377777777777777,283,1417
2,VALIDATION_INPUT30,year,2019_PLUS,2,0.00022222222222222223,2,2
2,VALIDATION_INPUT30,activity,0,0,0.0,0,0
2,VALIDATION_INPUT30,activity,1_9,0,0.0,0,0
2,VALIDATION_INPUT30,activity,10_29,0,0.0,0,0
2,VALIDATION_INPUT30,activity,30_99,1860,0.20666666666666667,62,975
2,VALIDATION_INPUT30,activity,100_299,2340,0.26,78,1348
2,VALIDATION_INPUT30,activity,300_PLUS,4800,0.5333333333333333,160,2749
2,EVALUATION_TARGET,support,0,15890,0.5624380574826561,168,7455
2,EVALUATION_TARGET,support,1_9,4339,0.15358204728868752,148,2053
2,EVALUATION_TARGET,support,10_49,3829,0.13553022794846384,154,1093
2,EVALUATION_TARGET,support,50_PLUS,4194,0.14844966728019254,163,770
2,EVALUATION_TARGET,year,UNKNOWN,0,0.0,0,0
2,EVALUATION_TARGET,year,BEFORE_2000,7534,0.26667138609655955,150,4154
2,EVALUATION_TARGET,year,2000_2009,5190,0.18370380857992355,160,2032
2,EVALUATION_TARGET,year,2010_2018,8945,0.31661475293784513,167,3261
2,EVALUATION_TARGET,year,2019_PLUS,6583,0.23301005238567182,144,1924
2,EVALUATION_TARGET,activity,0,0,0.0,0,0
2,EVALUATION_TARGET,activity,1_9,0,0.0,0,0
2,EVALUATION_TARGET,activity,10_29,0,0.0,0,0
2,EVALUATION_TARGET,activity,30_99,1065,0.03769644626929067,14,760
2,EVALUATION_TARGET,activity,100_299,5037,0.17828826277785642,47,2832
2,EVALUATION_TARGET,activity,300_PLUS,22150,0.7840152909528529,112,10660
2,EVALUATION_INPUT30,support,0,1704,0.3283236994219653,173,1136
2,EVALUATION_INPUT30,support,1_9,968,0.18651252408477842,163,654
2,EVALUATION_INPUT30,support,10_49,1080,0.20809248554913296,169,552
2,EVALUATION_INPUT30,support,50_PLUS,1438,0.2770712909441233,162,548
2,EVALUATION_INPUT30,year,UNKNOWN,0,0.0,0,0
2,EVALUATION_INPUT30,year,BEFORE_2000,1446,0.2786127167630058,163,939
2,EVALUATION_INPUT30,year,2000_2009,1328,0.2558766859344894,164,754
2,EVALUATION_INPUT30,year,2010_2018,2415,0.4653179190751445,168,1196
2,EVALUATION_INPUT30,year,2019_PLUS,1,0.0001926782273603083,1,1
2,EVALUATION_INPUT30,activity,0,0,0.0,0,0
2,EVALUATION_INPUT30,activity,1_9,0,0.0,0,0
2,EVALUATION_INPUT30,activity,10_29,0,0.0,0,0
2,EVALUATION_INPUT30,activity,30_99,420,0.08092485549132948,14,333
2,EVALUATION_INPUT30,activity,100_299,1410,0.27167630057803466,47,980
2,EVALUATION_INPUT30,activity,300_PLUS,3360,0.6473988439306358,112,2375
